date,PM25
1/7/10,72.45833333
1/8/10,174.3333333
1/9/10,84.75
1/10/10,55.08333333
1/11/10,19.91666667
1/12/10,20.5
1/13/10,42.70833333
1/14/10,92.08333333
1/15/10,49.83333333
1/16/10,182.7083333
1/17/10,210
1/18/10,263.375
1/19/10,341
1/20/10,70.91666667
1/21/10,27.75
1/22/10,30
1/23/10,-318.625
1/24/10,-999
1/25/10,-999
1/26/10,-347.625
1/27/10,110.7083333
1/28/10,21.125
1/29/10,25.625
1/30/10,45.29166667
1/31/10,38.41666667
2/1/10,64.66666667
2/2/10,65.91666667
2/3/10,78.95833333
2/4/10,56.20833333
2/5/10,78.58333333
2/6/10,76.66666667
2/7/10,113.9166667
2/8/10,180.9583333
2/9/10,147.625
2/10/10,12.20833333
2/11/10,14.58333333
2/12/10,26.875
2/13/10,88.20833333
2/14/10,44.70833333
2/15/10,34.20833333
2/16/10,96.125
2/17/10,60.75
2/18/10,84.20833333
2/19/10,114.875
2/20/10,180.8333333
2/21/10,121.2916667
2/22/10,91.83333333
2/23/10,174.5416667
2/24/10,272.75
2/25/10,164.9583333
2/26/10,69.29166667
2/27/10,80.08333333
2/28/10,81.20833333
3/1/10,59.25
3/2/10,90.41666667
3/3/10,157.4166667
3/4/10,192.3333333
3/5/10,21.79166667
3/6/10,51.83333333
3/7/10,87.83333333
3/8/10,45.375
3/9/10,19.70833333
3/10/10,61.875
3/11/10,176.2916667
3/12/10,43.625
3/13/10,60.375
3/14/10,86.625
3/15/10,62.75
3/16/10,64.875
3/17/10,40.58333333
3/18/10,164.75
3/19/10,226
3/20/10,65.20833333
3/21/10,70.54166667
3/22/10,112.1666667
3/23/10,53.875
3/24/10,61.91666667
3/25/10,31.04166667
3/26/10,69.5
3/27/10,69.625
3/28/10,73.91666667
3/29/10,221.875
3/30/10,-686.3333333
3/31/10,-535.625
4/1/10,-57.70833333
4/2/10,31.625
4/3/10,106.875
4/4/10,124.125
4/5/10,128.0416667
4/6/10,21.29166667
4/7/10,94.75
4/8/10,108.2083333
4/9/10,83.45833333
4/10/10,34.04166667
4/11/10,70.75
4/12/10,44.5
4/13/10,23.95833333
4/14/10,55.91666667
4/15/10,177.5833333
4/16/10,205
4/17/10,152.375
4/18/10,240.25
4/19/10,199.5
4/20/10,80.25
4/21/10,39
4/22/10,39.54166667
4/23/10,33.5
4/24/10,88.75
4/25/10,83.83333333
4/26/10,13.5
4/27/10,25.125
4/28/10,16.125
4/29/10,19.04166667
4/30/10,29.04166667
5/1/10,69.91666667
5/2/10,76.41666667
5/3/10,113.2916667
5/4/10,139.25
5/5/10,119.25
5/6/10,20.29166667
5/7/10,96.5
5/8/10,132
5/9/10,79.58333333
5/10/10,42.375
5/11/10,17.66666667
5/12/10,43.79166667
5/13/10,67.66666667
5/14/10,142.75
5/15/10,177.0833333
5/16/10,107.625
5/17/10,-19.875
5/18/10,50.08333333
5/19/10,34.41666667
5/20/10,65.41666667
5/21/10,113.875
5/22/10,148
5/23/10,123.2083333
5/24/10,42.45833333
5/25/10,34.33333333
5/26/10,83.70833333
5/27/10,-141
5/28/10,134.4166667
5/29/10,137.5833333
5/30/10,41.29166667
5/31/10,89.08333333
6/1/10,-77.79166667
6/2/10,-622.7916667
6/3/10,110.8333333
6/4/10,-504.4166667
6/5/10,-999
6/6/10,-999
6/7/10,-386.75
6/8/10,-852.6666667
6/9/10,-650.25
6/10/10,51.79166667
6/11/10,87.375
6/12/10,106.5
6/13/10,117.7916667
6/14/10,87.58333333
6/15/10,144.4583333
6/16/10,90.91666667
6/17/10,37
6/18/10,68.29166667
6/19/10,100.125
6/20/10,-14.875
6/21/10,76.83333333
6/22/10,-576.0833333
6/23/10,-338.3333333
6/24/10,79.33333333
6/25/10,166.5833333
6/26/10,169.3333333
6/27/10,118.75
6/28/10,156.9583333
6/29/10,188.2083333
6/30/10,178.375
7/1/10,119.375
7/2/10,27.04166667
7/3/10,70.83333333
7/4/10,92.875
7/5/10,46.29166667
7/6/10,24.95833333
7/7/10,57.125
7/8/10,46.33333333
7/9/10,84.58333333
7/10/10,82.79166667
7/11/10,167.5416667
7/12/10,122
7/13/10,103.4583333
7/14/10,131.2083333
7/15/10,197.7916667
7/16/10,195.9583333
7/17/10,120.7083333
7/18/10,153.0416667
7/19/10,164.3333333
7/20/10,42.5
7/21/10,71.66666667
7/22/10,168.5416667
7/23/10,169.1666667
7/24/10,97.45833333
7/25/10,164.0416667
7/26/10,211.5833333
7/27/10,182.6666667
7/28/10,177.0416667
7/29/10,201.2083333
7/30/10,212.375
7/31/10,119.7083333
8/1/10,43.25
8/2/10,68.33333333
8/3/10,151.3333333
8/4/10,113.7083333
8/5/10,21
8/6/10,22
8/7/10,79.16666667
8/8/10,100.1666667
8/9/10,242.9583333
8/10/10,141.75
8/11/10,112.0416667
8/12/10,93.04166667
8/13/10,-103.75
8/14/10,-999
8/15/10,-999
8/16/10,-596.1666667
8/17/10,147
8/18/10,229.875
8/19/10,113.9583333
8/20/10,113
8/21/10,37.16666667
8/22/10,23.625
8/23/10,85.08333333
8/24/10,127.1666667
8/25/10,90.16666667
8/26/10,60.16666667
8/27/10,39.875
8/28/10,51.33333333
8/29/10,113.5833333
8/30/10,110
8/31/10,88.08333333
9/1/10,69.66666667
9/2/10,103.375
9/3/10,106.7916667
9/4/10,91.79166667
9/5/10,119.5
9/6/10,158
9/7/10,129.4583333
9/8/10,97.04166667
9/9/10,162.25
9/10/10,99.70833333
9/11/10,-640.2083333
9/12/10,124.125
9/13/10,159.375
9/14/10,200.4583333
9/15/10,301.75
9/16/10,191.9166667
9/17/10,41.25
9/18/10,23.625
9/19/10,-149.4166667
9/20/10,90.41666667
9/21/10,-831
9/22/10,-999
9/23/10,-999
9/24/10,-999
9/25/10,-999
9/26/10,-999
